transaction_id,date,store_name,customer_name,customer_email,product_name,category,quantity,unit_price,total_price,payment_method
TX1110,2025-11-11,Horizon - Sarasota Bay,Diana Nguyen,diananguyen95@gmail.com,Decaf Colombian,Decaf,5,14.99,74.95,Cash
TX1476,05/13/2025,Horizon - Hyde Park,Carol Jones,carol.jones74@outlook.com,Horizon Mug (12 oz),Merchandise,4,14.0,56.0,Mobile Pay
TX1334,2025-07-04,Horizon - Orlando Mills,Sofia Campbell,sofia_campbell62@hotmail.com,Decaf Colombian,Decaf,3,14.99,44.97,Mobile Pay
TX1439,2025-03-18,Horizon - Jax Riverside,Bob Perez,bob_perez81@icloud.com,French Press (32 oz),Equipment,2,29.99,59.98,Mobile Pay
TX1175,2025-05-02,Horizon - Jax Riverside,Jack Nelson,jacknelson29@hotmail.com,Jamaican Blue Mountain,Single Origin,3,49.99,149.97,Debit Card
TX1369,2025-10-18,Horizon - Downtown Tampa,Zara Miller,zaramiller21@gmail.com,Brazil Santos,Single Origin,3,13.99,41.97,Credit Card
TX1418,2025-05-21,Horizon - Orlando Mills,Yosef Gonzalez,yosef.gonzalez17@yahoo.com,Ethiopian Yirgacheffe,Single Origin,5,16.99,84.95,Debit Card
TX1118,2025-10-20,Horizon - Clearwater,Diana Roberts,diana_roberts49@icloud.com,Vanilla Hazelnut,Flavored,4,13.99,55.96,Debit Card
TX1492,2025-02-23,Horizon - Downtown Tampa,Ivan Lopez,ivan.lopez4@hotmail.com,Vanilla Hazelnut,Flavored,1,13.99,13.99,Debit Card
TX1372,2025-08-04,Horizon - Sarasota Bay,Emily Garcia,emily.garcia44@yahoo.com,Espresso Classico,Blend,3,14.49,43.47,Cash
TX1271,2025-01-07,Horizon - Sarasota Bay,Henry Clark,henry.clark19@icloud.com,Caramel Pecan,Flavored,5,14.49,72.45,Credit Card
TX1367,2025-07-06,Horizon - Sarasota Bay,Rachel Lewis,rachel.lewis74@yahoo.com,Caramel Pecan,Flavored,2,14.49,28.98,Cash
TX1481,2025-05-03,Horizon - Clearwater,Yuki Jones,yukijones83@outlook.com,Decaf House Blend,Decaf,5,12.99,64.95,Mobile Pay
TX1120,2025-08-12,Horizon - Hyde Park,Olivia Lewis,olivia_lewis4@hotmail.com,Colombian Supremo,Single Origin,4,14.99,59.96,Debit Card
TX1064,2025-06-15,Horizon - Jax Riverside,Bob Garcia,bob.garcia87@icloud.com,Caramel Pecan,Flavored,1,14.49,14.49,Cash
TX1385,2025-12-07,Horizon - Miami Beach,Ethan Harris,ethanharris40@outlook.com,Costa Rica Tarrazu,Single Origin,1,16.49,16.49,Credit Card
TX1412,2025-11-29,Horizon - Sarasota Bay,Olivia Harris,oliviaharris91@gmail.com,Gooseneck Kettle,Equipment,3,44.99,134.97,Credit Card
TX1438,2025-01-29,Horizon - Jax Riverside,Kyle Campbell,kylecampbell41@icloud.com,Chocolate Raspberry,Flavored,1,13.99,13.99,Cash
TX1026,05/16/2025,Horizon - Clearwater,Quinn Brown,quinn.brown82@hotmail.com,French Press (32 oz),Equipment,3,29.99,89.97,Cash
TX1055,2025-10-02,Horizon - Orlando Mills,Mia Wilson,miawilson62@outlook.com,Horizon Tumbler (16 oz),Merchandise,5,22.0,110.0,Cash
TX1301,2025-07-14,Horizon - St. Pete Central,Nora Johnson,norajohnson94@yahoo.com,Decaf House Blend,Decaf,4,12.99,51.96,Mobile Pay
TX1061,2025-08-29,Horizon - Jax Riverside,Carol Anderson,carol_anderson91@outlook.com,Matcha Powder,Tea & Other,4,24.99,99.96,Debit Card
TX1102,2025-05-26,Horizon - Clearwater,Holly Nelson,holly_nelson6@yahoo.com,French Roast,Blend,5,13.49,67.45,Debit Card
TX1218,2025-12-13,Horizon - Sarasota Bay,Fiona Martinez,fionamartinez81@outlook.com,Nitro Cold Brew,Ready-to-Drink,4,21.99,87.96,Credit Card
TX1337,2025-03-10,Horizon - Clearwater,Gavin Allen,gavin.allen51@outlook.com,Vanilla Hazelnut,Flavored,1,13.99,13.99,Debit Card
TX1200,2025-10-16,Horizon - Miami Beach,Luna Wright,luna.wright88@icloud.com,Ethiopian Yirgacheffe,Single Origin,4,16.99,67.96,Debit Card
TX1495,2025-04-14,Horizon - St. Pete Central,Iris Williams,iriswilliams73@gmail.com,Hawaiian Kona,Single Origin,2,29.99,59.98,Mobile Pay
TX1489,2025-09-13,Horizon - Hyde Park,Oscar Martin,oscar_martin54@gmail.com,Chocolate Raspberry,Flavored,2,13.99,27.98,Credit Card
TX1338,2025-10-17,Horizon - Orlando Mills,Willa Campbell,willa_campbell46@gmail.com,Java Estate,Single Origin,4,15.99,63.96,Cash
TX1484,2025-10-30,Horizon - Hyde Park,Grace Davis,grace_davis77@icloud.com,Java Estate,Single Origin,1,15.99,15.99,Mobile Pay
TX1128,2025-07-23,Horizon - Clearwater,Quinn Williams,quinnwilliams25@outlook.com,Morning Sunrise Blend,Blend,1,12.99,12.99,Cash
TX1111,2025-08-19,Horizon - Hyde Park,Victor Rivera,victor.rivera65@yahoo.com,Colombian Supremo,Single Origin,2,14.99,29.98,Mobile Pay
TX1186,2025-12-24,Horizon - Sarasota Bay,Leo Miller,leo.miller68@yahoo.com,Java Estate,Single Origin,2,15.99,31.98,Cash
TX1282,2025-06-02,Horizon - Miami Beach,Jack King,jack.king8@icloud.com,French Roast,Blend,3,13.49,40.47,Credit Card
TX1442,2025-06-17,Horizon - Orlando Mills,Yosef Miller,,Brazil Santos,Single Origin,1,13.99,13.99,Credit Card
TX1244,2025-07-28,Horizon - Hyde Park,Ivan Thompson,ivan.thompson58@outlook.com,Decaf Colombian,Decaf,3,14.99,44.97,Credit Card
TX1362,2025-05-18,Horizon - Orlando Mills,Willa Baker,willa.baker64@yahoo.com,Java Estate,Single Origin,2,15.99,31.98,Debit Card
TX1292,2025-04-07,Horizon - Orlando Mills,Zara Johnson,zara.johnson29@yahoo.com,Brazil Santos,Single Origin,1,13.99,13.99,Debit Card
TX1384,2025-05-09,Horizon - Sarasota Bay,Alice Davis,alicedavis32@hotmail.com,Horizon Mug (12 oz),Merchandise,4,14.0,56.0,Credit Card
TX1169,2025-05-11,Horizon - Downtown Tampa,Willa Wilson,willawilson10@gmail.com,House Blend,Blend,3,11.99,35.97,Credit Card
TX1051,2025-06-15,Horizon - Miami Beach,Frank Moore,,Caramel Pecan,Flavored,5,14.49,72.45,Cash
TX1049,2025-10-17,Horizon - Downtown Tampa,Wendy Wright,wendy_wright85@outlook.com,Sumatra Mandheling,Single Origin,5,15.99,79.95,Credit Card
TX1464,2025-01-27,Horizon - Jax Riverside,Willa Flores,willa.flores37@hotmail.com,Sumatra Mandheling,Single Origin,2,15.99,31.98,Cash
TX1312,2025-08-20,Horizon - Orlando Mills,Iris Clark,irisclark90@icloud.com,Jamaican Blue Mountain,Single Origin,5,49.99,249.95,Debit Card
TX1006,2025-11-22,Horizon - Orlando Mills,Ivan Campbell,ivan.campbell21@hotmail.com,French Roast,Blend,3,13.49,40.47,Debit Card
TX1286,2025-03-02,Horizon - Clearwater,David Green,davidgreen75@icloud.com,Sumatra Mandheling,Single Origin,4,15.99,63.96,Credit Card
TX1293,2025-07-12,Horizon - Jax Riverside,Yosef Wright,,Colombian Supremo,Single Origin,1,14.99,14.99,Credit Card
TX1009,2025-03-12,Horizon - Clearwater,Frank Carter,frank.carter15@yahoo.com,Nitro Cold Brew,Ready-to-Drink,2,21.99,43.98,Mobile Pay
TX1324,2025-06-01,Horizon - Miami Beach,Uma Allen,uma.allen13@yahoo.com,Horizon Mug (12 oz),Merchandise,5,14.0,70.0,Credit Card
TX1081,12/04/2025,Horizon - Orlando Mills,Oscar Miller,oscarmiller83@gmail.com,Jamaican Blue Mountain,Single Origin,4,49.99,199.96,Cash
TX1259,2025-10-17,Horizon - Hyde Park,Fiona Martinez,fiona_martinez96@gmail.com,Java Estate,Single Origin,3,15.99,47.97,Debit Card
TX1138,2025-11-25,Horizon - Hyde Park,Caleb Robinson,calebrobinson67@outlook.com,Guatemala Antigua,Single Origin,5,15.49,77.45,Debit Card
TX1423,2025-05-27,Horizon - Clearwater,Karen Ramirez,karen_ramirez79@gmail.com,Matcha Powder,Tea & Other,5,24.99,124.95,Mobile Pay
TX1498,2025-10-21,Horizon - Downtown Tampa,Aiden Williams,aiden.williams61@icloud.com,Colombian Supremo,Single Origin,4,14.99,59.96,Mobile Pay
TX1016,2025-04-20,Horizon - Orlando Mills,Vince Torres,vincetorres61@yahoo.com,Pour-Over Kit,Equipment,4,34.99,139.96,Debit Card
TX1253,2025-01-29,Horizon - Miami Beach,Kyle Harris,kyle_harris23@yahoo.com,Java Estate,Single Origin,5,15.99,79.95,Cash
TX1160,2025-03-31,Horizon - Sarasota Bay,Leo Williams,leo_williams64@yahoo.com,Aeropress,Equipment,3,39.99,119.97,Credit Card
TX1213,2025-04-23,Horizon - Jax Riverside,Carol Moore,carol.moore69@outlook.com,Costa Rica Tarrazu,Single Origin,4,16.49,65.96,Mobile Pay
TX1460,2025-01-04,Horizon - Clearwater,Vince Thomas,vincethomas65@outlook.com,House Blend,Blend,5,11.99,59.95,Credit Card
TX1371,2025-09-19,Horizon - Clearwater,Yosef Mitchell,yosef_mitchell11@hotmail.com,Cold Brew Concentrate,Ready-to-Drink,3,18.99,56.97,Debit Card
TX1475,2025-02-05,Horizon - Clearwater,Mia Flores,mia_flores23@hotmail.com,Kenya AA,Single Origin,2,17.99,35.98,Mobile Pay
TX1325,2025-12-17,Horizon - Sarasota Bay,Grace Wilson,,Nitro Cold Brew,Ready-to-Drink,1,21.99,21.99,Debit Card
TX1237,2025-01-19,Horizon - Sarasota Bay,Olivia Lee,olivia.lee54@outlook.com,Hawaiian Kona,Single Origin,1,29.99,29.99,Credit Card
TX1184,12/09/2025,Horizon - Downtown Tampa,Xena Smith,xena_smith18@yahoo.com,Sumatra Mandheling,Single Origin,2,15.99,31.98,Mobile Pay
TX1343,2025-03-07,Horizon - Orlando Mills,Iris Green,irisgreen6@icloud.com,Guatemala Antigua,Single Origin,1,15.49,15.49,Debit Card
TX1062,2025-12-05,Horizon - Miami Beach,Bella Davis,belladavis29@yahoo.com,Aeropress,Equipment,3,39.99,119.97,Credit Card
TX1303,2025-03-18,Horizon - Downtown Tampa,Alice Adams,alice.adams65@hotmail.com,Burr Grinder,Equipment,4,59.99,239.96,Credit Card
TX1436,2025-06-03,Horizon - St. Pete Central,Yosef Smith,yosef.smith88@outlook.com,Espresso Classico,Blend,4,14.49,57.96,Credit Card
TX1402,03/30/2025,Horizon - Clearwater,Tyler Hall,tylerhall13@icloud.com,Nitro Cold Brew,Ready-to-Drink,3,21.99,65.97,Mobile Pay
TX1010,2025-08-28,Horizon - Jax Riverside,Julia Smith,juliasmith93@gmail.com,Chai Latte Mix,Tea & Other,5,10.99,54.95,Cash
TX1454,2025-11-22,Horizon - Downtown Tampa,Xena Martinez,xenamartinez20@hotmail.com,Chocolate Raspberry,Flavored,3,13.99,41.97,Mobile Pay
TX1222,2025-04-14,Horizon - Orlando Mills,Priya Martin,priya.martin36@gmail.com,Nitro Cold Brew,Ready-to-Drink,3,21.99,65.97,Cash
TX1153,2025-07-30,Horizon - Clearwater,Willa Campbell,willa.campbell91@yahoo.com,Vanilla Hazelnut,Flavored,2,13.99,27.98,Mobile Pay
TX1167,2025-10-16,Horizon - Hyde Park,David Scott,davidscott26@icloud.com,Chocolate Raspberry,Flavored,2,13.99,27.98,Mobile Pay
TX1125,2025-10-06,Horizon - Downtown Tampa,Yuki Walker,yuki.walker82@hotmail.com,Morning Sunrise Blend,Blend,3,12.99,38.97,Cash
TX1302,2025-01-07,Horizon - Miami Beach,Reed Perez,reedperez67@icloud.com,Kenya AA,Single Origin,4,17.99,71.96,Debit Card
TX1389,2025-12-19,Horizon - Sarasota Bay,Wendy Campbell,wendy.campbell33@gmail.com,Decaf House Blend,Decaf,4,12.99,51.96,Mobile Pay
TX1365,07/21/2025,Horizon - Orlando Mills,Diana Davis,dianadavis67@hotmail.com,Espresso Classico,Blend,1,14.49,14.49,Debit Card
TX1393,2025-03-08,Horizon - Orlando Mills,Carol Gonzalez,carol.gonzalez63@yahoo.com,Kenya AA,Single Origin,1,17.99,17.99,Mobile Pay
TX1129,2025-07-24,Horizon - Clearwater,Yuki Perez,yuki.perez64@hotmail.com,Morning Sunrise Blend,Blend,5,12.99,64.95,Credit Card
TX1261,2025-08-03,Horizon - Orlando Mills,Aiden Young,aiden_young45@icloud.com,French Roast,Blend,1,13.49,13.49,Debit Card
TX1328,2025-12-18,Horizon - Jax Riverside,Mason Garcia,mason_garcia98@hotmail.com,French Roast,Blend,4,13.49,53.96,Credit Card
TX1133,2025-07-10,Horizon - Clearwater,Xena Jones,xenajones18@icloud.com,Morning Sunrise Blend,Blend,4,12.99,51.96,Cash
TX1434,2025-09-12,Horizon - Clearwater,Leo Flores,leo.flores91@outlook.com,Brazil Santos,Single Origin,1,13.99,13.99,Mobile Pay
TX1141,2025-06-22,Horizon - Downtown Tampa,Bob Garcia,bob.garcia83@icloud.com,Hawaiian Kona,Single Origin,2,29.99,59.98,Mobile Pay
TX1289,11/11/2025,Horizon - Sarasota Bay,Oscar Ramirez,oscar_ramirez55@hotmail.com,French Roast,Blend,1,13.49,13.49,Debit Card
TX1044,2025-11-15,Horizon - Downtown Tampa,Zara Nguyen,zaranguyen85@gmail.com,Sumatra Mandheling,Single Origin,4,15.99,63.96,Mobile Pay
TX1053,2025-05-04,Horizon - Clearwater,Priya Rivera,priya_rivera58@gmail.com,Sumatra Mandheling,Single Origin,3,15.99,47.97,Debit Card
TX1300,2025-08-04,Horizon - Orlando Mills,Henry Rodriguez,henryrodriguez93@gmail.com,Burr Grinder,Equipment,2,59.99,119.98,Mobile Pay
TX1265,2025-05-31,Horizon - Clearwater,Mia Miller,mia.miller27@yahoo.com,Nitro Cold Brew,Ready-to-Drink,3,21.99,65.97,Mobile Pay
TX1199,2025-06-13,Horizon - Jax Riverside,Willa Hall,willahall63@icloud.com,Pour-Over Kit,Equipment,2,34.99,69.98,Cash
TX1223,11/17/2025,Horizon - Jax Riverside,Vince Hall,vince.hall55@gmail.com,Matcha Powder,Tea & Other,1,24.99,24.99,Mobile Pay
TX1327,01/09/2025,Horizon - Sarasota Bay,Sofia Davis,sofiadavis1@icloud.com,Sumatra Mandheling,Single Origin,5,15.99,79.95,Credit Card
TX1441,2025-01-20,Horizon - Miami Beach,Frank Lewis,franklewis4@hotmail.com,Gooseneck Kettle,Equipment,5,44.99,224.95,Cash
TX1212,2025-04-10,Horizon - Sarasota Bay,Julia Allen,juliaallen64@hotmail.com,Chai Latte Mix,Tea & Other,4,10.99,43.96,Mobile Pay
TX1019,03/27/2025,Horizon - Sarasota Bay,Fiona Walker,fiona.walker52@gmail.com,Costa Rica Tarrazu,Single Origin,4,16.49,65.96,Mobile Pay
TX1456,2025-10-09,Horizon - Downtown Tampa,Alice Rivera,alicerivera46@gmail.com,Burr Grinder,Equipment,3,59.99,179.97,Debit Card
TX1173,2025-01-09,Horizon - Miami Beach,Noah Jones,noah.jones77@gmail.com,Decaf Colombian,Decaf,5,14.99,74.95,Credit Card
TX1326,2025-02-07,Horizon - Downtown Tampa,Leo Taylor,leotaylor10@icloud.com,French Press (32 oz),Equipment,2,29.99,59.98,Mobile Pay
TX1069,2025-04-26,Horizon - Hyde Park,Diana Davis,dianadavis20@hotmail.com,Aeropress,Equipment,3,39.99,119.97,Cash
TX1136,2025-12-25,Horizon - Orlando Mills,Xavier Allen,,Pour-Over Kit,Equipment,2,34.99,69.98,Mobile Pay
TX1130,2025-04-03,Horizon - Jax Riverside,Uma Miller,uma.miller42@outlook.com,Jamaican Blue Mountain,Single Origin,4,49.99,199.96,Mobile Pay
TX1251,2025-07-15,Horizon - St. Pete Central,Ethan Wright,,Vanilla Hazelnut,Flavored,3,13.99,41.97,Debit Card
TX1250,2025-09-13,Horizon - Sarasota Bay,Julia Walker,julia.walker12@outlook.com,French Roast,Blend,2,13.49,26.98,Debit Card
TX1179,2025-10-14,Horizon - Miami Beach,Ethan Wilson,ethan_wilson39@gmail.com,Brazil Santos,Single Origin,2,13.99,27.98,Credit Card
TX1416,2025-04-14,Horizon - Orlando Mills,Tina Hall,tinahall68@yahoo.com,House Blend,Blend,2,11.99,23.98,Debit Card
TX1039,2025-08-26,Horizon - St. Pete Central,Xena Lewis,xenalewis93@icloud.com,House Blend,Blend,5,11.99,59.95,Debit Card
TX1103,2025-05-11,Horizon - Jax Riverside,Uma Davis,uma.davis64@hotmail.com,Costa Rica Tarrazu,Single Origin,2,16.49,32.98,Debit Card
TX1353,2025-09-18,Horizon - Sarasota Bay,Victor Scott,victorscott90@gmail.com,Costa Rica Tarrazu,Single Origin,4,16.49,65.96,Credit Card
TX1231,2025-05-27,Horizon - Sarasota Bay,Bella Hall,bella_hall11@icloud.com,Chocolate Raspberry,Flavored,5,13.99,69.95,Credit Card
TX1323,2025-02-28,Horizon - Sarasota Bay,Quinn Wright,quinnwright37@gmail.com,Aeropress,Equipment,5,39.99,199.95,Cash
TX1041,2025-02-11,Horizon - Orlando Mills,Jack Anderson,jack_anderson89@yahoo.com,Matcha Powder,Tea & Other,2,24.99,49.98,Mobile Pay
TX1159,2025-09-02,Horizon - Miami Beach,Xena Jackson,xena_jackson37@gmail.com,Aeropress,Equipment,1,39.99,39.99,Debit Card
TX1196,2025-03-13,Horizon - Jax Riverside,Tina Moore,tina_moore19@gmail.com,Costa Rica Tarrazu,Single Origin,4,16.49,65.96,Cash
TX1140,2025-10-10,Horizon - Jax Riverside,Iris Green,iris_green79@icloud.com,Sumatra Mandheling,Single Origin,5,15.99,79.95,Debit Card
TX1339,2025-07-04,Horizon - Sarasota Bay,Ethan Robinson,ethan.robinson6@outlook.com,Kenya AA,Single Origin,5,17.99,89.95,Cash
TX1347,2025-11-04,Horizon - Downtown Tampa,Ivan Allen,ivan.allen12@hotmail.com,Chai Latte Mix,Tea & Other,2,10.99,21.98,Credit Card
TX1047,2025-12-25,Horizon - Jax Riverside,Yosef White,yosef.white78@icloud.com,Horizon Tumbler (16 oz),Merchandise,1,22.0,22.0,Debit Card
TX1050,2025-07-05,Horizon - Clearwater,Ursula Martinez,ursula_martinez23@icloud.com,Nitro Cold Brew,Ready-to-Drink,3,21.99,65.97,Mobile Pay
TX1414,2025-05-01,Horizon - Jax Riverside,David Green,david_green50@gmail.com,Chocolate Raspberry,Flavored,3,13.99,41.97,Cash
TX1020,2025-08-05,Horizon - Clearwater,Jack Gonzalez,jack_gonzalez28@gmail.com,Caramel Pecan,Flavored,5,14.49,72.45,Cash
TX1428,2025-01-07,Horizon - Clearwater,Fiona Young,fionayoung1@icloud.com,Gooseneck Kettle,Equipment,4,44.99,179.96,Mobile Pay
TX1474,2025-06-15,Horizon - Jax Riverside,Karen Roberts,karen.roberts36@gmail.com,French Roast,Blend,4,13.49,53.96,Credit Card
TX1284,2025-12-10,Horizon - St. Pete Central,Gavin Martin,gavin.martin85@icloud.com,Costa Rica Tarrazu,Single Origin,3,16.49,49.47,Debit Card
TX1238,2025-09-22,Horizon - Downtown Tampa,Zara Jones,zara_jones37@outlook.com,Espresso Classico,Blend,1,14.49,14.49,Credit Card
TX1446,2025-03-08,Horizon - Downtown Tampa,Ethan Baker,ethan.baker14@hotmail.com,Colombian Supremo,Single Origin,1,14.99,14.99,Debit Card
TX1180,2025-12-23,Horizon - Miami Beach,Zara Thomas,zarathomas42@outlook.com,French Roast,Blend,4,13.49,53.96,Cash
TX1209,2025-11-09,Horizon - Sarasota Bay,Luna Davis,luna_davis46@hotmail.com,Cold Brew Concentrate,Ready-to-Drink,2,18.99,37.98,Cash
TX1014,2025-12-20,Horizon - Miami Beach,Ursula Martin,ursula_martin86@outlook.com,Decaf Colombian,Decaf,5,14.99,74.95,Debit Card
TX1192,2025-06-17,Horizon - Downtown Tampa,Oscar Moore,oscar_moore63@yahoo.com,Morning Sunrise Blend,Blend,5,12.99,64.95,Mobile Pay
TX1406,2025-03-11,Horizon - Clearwater,Julia Gonzalez,julia_gonzalez51@icloud.com,Brazil Santos,Single Origin,5,13.99,69.95,Debit Card
TX1463,2025-06-19,Horizon - Sarasota Bay,Wendy Jackson,wendy_jackson22@gmail.com,Matcha Powder,Tea & Other,5,24.99,124.95,Cash
TX1468,2025-09-01,Horizon - Miami Beach,Yuki Baker,,Hawaiian Kona,Single Origin,2,29.99,59.98,Mobile Pay
TX1082,2025-08-01,Horizon - Orlando Mills,Mia Rodriguez,miarodriguez47@icloud.com,Vanilla Hazelnut,Flavored,3,13.99,41.97,Cash
TX1038,2025-03-17,Horizon - Downtown Tampa,Xena Roberts,xena.roberts55@yahoo.com,Costa Rica Tarrazu,Single Origin,5,16.49,82.45,Debit Card
TX1015,2025-04-28,Horizon - Miami Beach,Alice Jones,alicejones81@gmail.com,Java Estate,Single Origin,1,15.99,15.99,Cash
TX1162,2025-08-23,Horizon - Jax Riverside,Ursula Lopez,ursula.lopez95@outlook.com,Pour-Over Kit,Equipment,3,34.99,104.97,Debit Card
TX1306,2025-11-23,Horizon - Jax Riverside,Gavin Scott,gavin.scott84@hotmail.com,Espresso Classico,Blend,3,14.49,43.47,Debit Card
TX1285,2025-04-04,Horizon - St. Pete Central,Priya Garcia,priya.garcia46@yahoo.com,Horizon Tumbler (16 oz),Merchandise,3,22.0,66.0,Cash
TX1005,2025-02-10,Horizon - Miami Beach,Grace Harris,grace_harris59@outlook.com,Costa Rica Tarrazu,Single Origin,3,16.49,49.47,Cash
TX1421,2025-08-23,Horizon - Miami Beach,Bella Sanchez,bella.sanchez78@hotmail.com,Horizon Tumbler (16 oz),Merchandise,3,22.0,66.0,Credit Card
TX1132,2025-08-13,Horizon - Downtown Tampa,Iris Jones,iris.jones83@outlook.com,Morning Sunrise Blend,Blend,4,12.99,51.96,Credit Card
TX1254,10/18/2025,Horizon - Orlando Mills,Kyle Gonzalez,kyle_gonzalez70@outlook.com,Costa Rica Tarrazu,Single Origin,4,16.49,65.96,Credit Card
TX1319,2025-09-21,Horizon - Hyde Park,Yuki Williams,,Hawaiian Kona,Single Origin,2,29.99,59.98,Cash
TX1220,2025-07-03,Horizon - Hyde Park,Ivan Sanchez,ivan.sanchez55@yahoo.com,Decaf House Blend,Decaf,3,12.99,38.97,Cash
TX1067,2025-09-21,Horizon - Downtown Tampa,Reed Wright,reed_wright53@gmail.com,Brazil Santos,Single Origin,5,13.99,69.95,Mobile Pay
TX1112,2025-05-25,Horizon - Sarasota Bay,Aiden Roberts,aiden_roberts87@icloud.com,Colombian Supremo,Single Origin,3,14.99,44.97,Credit Card
TX1145,2025-04-08,Horizon - Orlando Mills,Fiona Allen,fiona_allen64@outlook.com,Decaf House Blend,Decaf,1,12.99,12.99,Mobile Pay
TX1124,2025-05-30,Horizon - Sarasota Bay,Alice Flores,alice_flores31@icloud.com,House Blend,Blend,2,11.99,23.98,Credit Card
TX1370,2025-10-14,Horizon - Jax Riverside,Wendy Johnson,wendy_johnson16@outlook.com,Burr Grinder,Equipment,5,59.99,299.95,Debit Card
TX1093,2025-12-18,Horizon - Hyde Park,Fiona Rivera,fiona_rivera10@gmail.com,Espresso Classico,Blend,5,14.49,72.45,Debit Card
TX1225,2025-06-10,Horizon - St. Pete Central,Tina Rodriguez,tina_rodriguez97@yahoo.com,Nitro Cold Brew,Ready-to-Drink,2,21.99,43.98,Credit Card
TX1321,2025-04-05,Horizon - Hyde Park,Gavin Hernandez,gavin_hernandez70@icloud.com,French Roast,Blend,1,13.49,13.49,Debit Card
TX1240,2025-10-05,Horizon - St. Pete Central,Oscar Hall,oscar.hall43@gmail.com,Horizon Mug (12 oz),Merchandise,4,14.0,56.0,Cash
TX1001,2025-11-24,Horizon - Hyde Park,Bob Mitchell,bob_mitchell32@yahoo.com,Guatemala Antigua,Single Origin,1,15.49,15.49,Credit Card
TX1031,2025-05-23,Horizon - St. Pete Central,Priya Allen,priya_allen87@icloud.com,Espresso Classico,Blend,1,14.49,14.49,Cash
TX1008,2025-11-26,Horizon - Clearwater,Jack Taylor,jack.taylor32@icloud.com,Chocolate Raspberry,Flavored,3,13.99,41.97,Mobile Pay
TX1311,2025-02-23,Horizon - Sarasota Bay,Reed Hill,reedhill42@icloud.com,Gooseneck Kettle,Equipment,4,44.99,179.96,Debit Card
TX1166,2025-07-11,Horizon - Sarasota Bay,Tyler Scott,tyler_scott97@icloud.com,Pour-Over Kit,Equipment,2,34.99,69.98,Credit Card
TX1195,2025-11-02,Horizon - St. Pete Central,Yuki Smith,yuki_smith53@hotmail.com,Horizon Mug (12 oz),Merchandise,1,14.0,14.0,Debit Card
TX1046,2025-11-30,Horizon - Downtown Tampa,Xena Johnson,xena.johnson26@gmail.com,Cold Brew Concentrate,Ready-to-Drink,2,18.99,37.98,Mobile Pay
TX1309,2025-08-23,Horizon - Miami Beach,Ursula Perez,ursula.perez97@hotmail.com,Colombian Supremo,Single Origin,5,14.99,74.95,Mobile Pay
TX1236,2025-03-01,Horizon - Miami Beach,Willa Allen,willa.allen6@gmail.com,Java Estate,Single Origin,1,15.99,15.99,Mobile Pay
TX1361,2025-10-02,Horizon - Downtown Tampa,Tyler Taylor,tyler.taylor37@gmail.com,French Roast,Blend,3,13.49,40.47,Debit Card
TX1388,2025-01-31,Horizon - St. Pete Central,Priya Martinez,priyamartinez69@gmail.com,Guatemala Antigua,Single Origin,4,15.49,61.96,Cash
TX1032,2025-02-25,Horizon - Sarasota Bay,Wendy Campbell,wendy_campbell56@icloud.com,Vanilla Hazelnut,Flavored,1,N/A,N/A,Debit Card
TX1121,2025-06-13,Horizon - Hyde Park,Ursula Adams,ursula_adams19@yahoo.com,Colombian Supremo,Single Origin,3,14.99,44.97,Mobile Pay
